Case ID,Grade,Subject,Fee,General Location,Date,Specific Location,Lessons/Week,Duration,Availability,Other Req,Applicants,Scraped At
218020,25-30歲,普通話,每小時$130,將軍澳(上門補習),2026-04-14 18:30:56,：尚德邨,一星期2堂,每堂1.5小時,"：星期一 1400-1530, 星期二 1400-1530, 星期四 1400-1530, 導師必須在以上時段補習","： 提供筆記, 細心, 了解學生不足, $200/1.5小時；不接受視像；學生是巴基斯坦人，識講廣東話，想學普通話，主要是說話和閱讀",0-5位導師,14/4/2026 下午8:28:48
218022,中二,綜合科學(英文),每小時$180 - 220,沙田(上門補習),2026-04-14 18:29:18,：瓏珀山,一星期2堂,每堂1.5小時,"：星期二 1630-1800, 星期五 1630-1800, 時間可再商議","： 提供練習／試題, 願意支付額外交通金額(HKD): 30.00, 期望最快上課時間:3天內,粵語授課,急單補習(需要在兩天內開始上第一堂課),不接受視像",0-5位導師,14/4/2026 下午8:28:50
218019,中三,中文,每小時$220 - 240,康城(上門補習),2026-04-14 18:24:55,：Sea To Sky (近地鐵站),一星期1堂,每堂1.5小時,"：星期三 , 星期五 , 時間可再商議","： 有耐性, 提供練習／試題, 長補, 不接受視像",0-5位導師,14/4/2026 下午8:28:51
218018,小二,全科(英文),每小時$200,何文田(上門補習),2026-04-14 18:24:47,：窩打老道,一星期5堂,每堂1小時,,： 不接受視像,0-5位導師,14/4/2026 下午8:28:52
218017,小五,數學(中文),每小時$100 - 120,視像補習,2026-04-14 18:20:07,,一星期1堂,每堂1小時,"：星期日 8-9pm, 時間可再商議","： 提供練習／試題, 提供筆記, 嚴謹，提供筆記",0-5位導師,14/4/2026 下午8:28:53
218016,中四 (2人),數學(中文),每小時$170-220,屯門(公眾地方),2026-04-14 18:15:13,,一星期1堂,每堂1.5小時,,： 不接受視像,6-10位導師,14/4/2026 下午8:28:54
218015,中一,"數學(英文),綜合科學(英文)",每小時$200-220,大坑(上門補習),2026-04-14 18:00:14,：香港大坑利群道,一星期1堂,每堂1.5小時,：,：,0-5位導師,14/4/2026 下午8:28:55
218014,year8,"null,Biology HL(英文)",每小時$280 - 350,何文田(上門補習),2026-04-14 17:45:17,：自由道,一星期2堂,每堂2小時,"：星期二 1930-2000, 星期六 1530-1800, 時間可再商議","： 期望最快上課時間:7天內,不接受視像",0-5位導師,14/4/2026 下午8:28:56
218013,小二,中文,每小時$140 - 180,北角(上門補習),2026-04-14 17:31:31,"：Provident Centre, North Point",一星期2堂,每堂1.5小時,"：星期一 1630, 星期二 1630, 星期三 1630, 星期四 1630, 星期五 1630, 星期六 1100, 星期日 1100, 時間可再商議","： 有耐性, 細心, 引起學生學習興趣, 期望最快上課時間:3天內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午8:28:57
218012,K3,"中文,英文",每小時$150 - 190,天后(上門補習),2026-04-14 17:28:29,：維景台,一星期1堂,每堂2小時,：,"： 期望最快上課時間:2星期內,全英文授課、普通話授課,不接受視像",0-5位導師,14/4/2026 下午8:28:58
218011,小二,全科(中文),每小時$200 - 280,黃埔(上門補習),2026-04-14 16:59:56,：海濱南岸 (紅磡站/ 黃埔站步行),一星期2堂,每堂1小時,,"： 有耐性, 有愛心, 全職導師, 兩位女兒分別就讀小一和小二，都很乖巧，肯聽老師教導，會一起補習，需要一位有耐性,必須按時上堂 [有幼兒教育經驗的現職/曾任幼稚園或小學教師，全職導師]。期望最快上課時間:2星期內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午8:28:59
218010,中三,英文,每小時$270-300,秀茂坪(公眾地方),2026-04-14 16:36:12,：順利宿舍會所,一星期2堂,每堂1.5小時,,"： 想要醫科生導師,不接受視像",0-5位導師,14/4/2026 下午8:29:01
218009,40+歲,英語會話,每小時$170 - 200,視像補習,2026-04-14 16:15:09,,一星期1堂,每堂1小時,：,"： 其他, 5月開始",0-5位導師,14/4/2026 下午8:29:02
218007,中三,生物(英文),每小時$170 - 210,何文田(公眾地方),2026-04-14 15:57:51,：會所,一星期1堂,每堂2小時,,： 不接受視像,0-5位導師,14/4/2026 下午8:29:03
218006,小五,全科(英文),每小時$140 - 250,第一城(上門補習),2026-04-14 15:55:14,：富豪花園,一星期1堂,每堂1.5小時,"：星期一 1700-1900, 星期二 1700-1900, 星期四 1700-1900, 時間可再商議","： 有耐性, 願意支付額外交通金額(HKD): 4.00, 期望最快上課時間:3天內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午8:29:04
218008,小一,英文,每小時$160 - 200,藍田(上門補習),2026-04-14 15:48:43,：廣田邨,一星期2堂,每堂1.5小時,"：星期二 1630-1730, 星期三 1630-1730, 星期四 1630-1730, 時間可再商議","： 提供練習／試題, 緊貼學校進度, 提升閱讀能力, 願意支付額外交通金額(HKD): 20.00, 期望最快上課時間:7天內,粵語授課、全英文授課,不接受視像",0-5位導師,14/4/2026 下午8:29:05
218005,小四,全科(中文),每小時$150 - 190,中環(上門補習),2026-04-14 15:35:02,：骏豪阁,一星期2堂,每堂1.5小時,"：星期一 1700, 星期二 1700, 星期三 1700, 星期四 1700, 星期五 1700, 導師必須在以上時段補習","： 期望最快上課時間:3天內,粵語授課,有特殊學習需要",0-5位導師,14/4/2026 下午8:29:06
218004,中五,資訊及通訊科技(中文),每小時$200 - 240,屯門(上門補習),2026-04-14 15:24:44,：龍門居,一星期1堂,每堂1.5小時,"：星期二 1830-2100, 星期三 1830-2100, 星期四 1830-2100, 星期六 1000-200, 導師必須在以上時段補習","： 有耐性, 提供筆記, 提供練習／試題, 期望最快上課時間:7天內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午8:29:07
218003,中四,中文,每小時$180,視像補習,2026-04-14 15:17:54,,一星期1堂,每堂1.5小時,"：星期一 2000-2130, 導師必須在以上時段補習","： 期望最快上課時間:7天內,粵語授課",6-10位導師,14/4/2026 下午8:29:09
218002,中四,英文,每小時$200 - 240,杏花邨(上門補習),2026-04-14 15:05:00,：杏花邨,一星期1堂,每堂1.5小時,"：星期日 1400-1900, 時間可再商議","： 現職/曾任中小學教師, 期望最快上課時間:7天內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午8:29:10
218001,中六,經濟(英文),每小時$230,視像補習,2026-04-14 14:33:33,,一星期2堂,每堂2小時,"：星期四 1200, 時間可再商議","： 期望最快上課時間:3天內,粵語授課,【中六DSE只收取一星期費用】",0-5位導師,14/4/2026 下午8:29:11
218000,中六,會計(英文),每小時$230,視像補習,2026-04-14 14:29:58,,一星期2堂,每堂2小時,"：星期五 1200, 時間可再商議","： 期望最快上課時間:3天內,粵語授課,【中六DSE只收取一星期費用】",0-5位導師,14/4/2026 下午8:29:12
217998,小三,英文,每小時$160 - 200,筲箕灣(上門補習),2026-04-14 14:25:45,：愛蝶灣,一星期2堂,每堂1.5小時,"：星期一 1630-1730, 時間可再商議","： 期望最快上課時間:2星期內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午8:29:13
217997,中六,物理(中文),每小時$470 - 1200,尖沙咀(公眾地方),2026-04-14 14:22:18,：新文华中心,一星期5堂,每堂2小時,"：星期三 15-17, 星期四 15-17, 時間可再商議","： 有耐性, 期望最快上課時間:3天內,粵語授課、普通話授課,有特殊學習需要,【中六DSE只收取一星期費用】,急單補習(需要在兩天內開始上第一堂課),不接受視像",0-5位導師,14/4/2026 下午8:29:14
217999,40+歲,英語會話,每小時$280 - 350,南昌(上門補習),2026-04-14 14:06:58,：匯璽,一星期2堂,每堂2小時,"：星期一 1900-2100, 星期二 1900-2100, 星期三 1900-2100, 星期四 1900-2100, 導師必須在以上時段補習","： 有經驗, 現職/曾任中小學教師, 外國回流導師, 期望最快上課時間:1個月後,不接受視像",0-5位導師,14/4/2026 下午8:29:15
217996,小二,托兒/幼兒照顧(英文),每小時$180 - 1200,半山(上門補習),2026-04-14 13:41:18,：承德山莊,一星期2堂,每堂2小時,"：星期一 400-1600, 時間可再商議","： 有耐性, 期望最快上課時間:2星期內,不接受視像",6-10位導師,14/4/2026 下午8:29:16
217994,中四,地理(英文),每小時$200,黃大仙(上門補習),2026-04-14 13:15:36,：黃大仙紀律部隊宿舍,一星期1堂,每堂2小時,：,： 不接受視像,0-5位導師,14/4/2026 下午8:29:17
217992,小三,中文,每小時$140 - 200,康城(上門補習),2026-04-14 13:01:54,：Malibu,一星期2堂,每堂1.5小時,"：星期一 1800-1900, 星期二 1800-1900, 星期三 1800-1900, 星期四 1800-1900, 時間可再商議","： 有耐性, 提供筆記, 提供練習／試題, 期望最快上課時間:7天內,粵語授課,急單補習(需要在兩天內開始上第一堂課),不接受視像",6-10位導師,14/4/2026 下午8:29:18
217991,小二,功課(英文),每小時$140 - 180,北角(上門補習),2026-04-14 12:24:26,：富雅花園,一星期5堂,每堂2小時,"：星期一 1530-1730, 星期二 1530-1730, 星期三 1530-1730, 星期四 1530-1730, 星期五 1530-1730, 導師必須在以上時段補習","： 期望最快上課時間:一個月內,粵語授課、全英文授課,不接受視像",0-5位導師,14/4/2026 下午8:29:20
217993,小一,中文,每小時$140 - 250,深水埗(上門補習),2026-04-14 11:35:39,：深水埗,一星期2堂,每堂1.5小時,"：星期一 1615-1730, 星期二 1615-1730, 星期四 1615-1730, 時間可再商議","： 有耐性, 長補, 提升閱讀能力, 識字量很小, 難已應付功課及考試,期望最快上課時間:3天內,粵語授課,不接受視像",11-15位導師,14/4/2026 下午8:29:21
217989,小五,"中文,英文,數學(英文)",每小時$150 - 190,馬鞍山(上門補習),2026-04-14 11:29:06,：䁱峯灣畔,一星期1堂,每堂1.5小時,：,： 1星期1或2堂，每堂補1-2科，不接受視像,0-5位導師,14/4/2026 下午8:29:22
217988,小一,英文,每小時$190 - 230,紅磡(上門補習),2026-04-14 11:28:47,：寶新大廈(地鐵站 **分開）,一星期2堂,每堂1小時,：,： 不接受視像。有補初小，或幼稚園經驗、教英文經驗；補底,6-10位導師,14/4/2026 下午8:29:23
217990,小四 (2人),全科(中文),每小時$150,黃埔(上門補習),2026-04-14 11:25:48,：whampoa garden,一星期3堂,每堂2小時,"：星期一 10-12, 星期二 10-12, 星期三 10-12, 星期四 10-12, 星期五 10-12, 時間可再商議","： 嚴格, 幫助操練, 期望最快上課時間:1個月後,普通話授課,不接受視像",6-10位導師,14/4/2026 下午8:29:24
217987,小四,全科(中文),每小時$200 - 240,西貢(上門補習),2026-04-14 11:10:44,"：LOhas park, TKO",一星期1堂,每堂1.5小時,"：星期二 1600-2000, 星期四 1600-2000, 時間可再商議","： 期望最快上課時間:3天內,粵語授課、普通話授課,不接受視像",6-10位導師,14/4/2026 下午8:29:25
217986,小六,中文,每小時$140 - 170,寶琳(上門補習),2026-04-14 10:53:26,：新都城,一星期1堂,每堂1小時,,"： 有耐性, 提供練習／試題, 專補中文,不接受視像",0-5位導師,14/4/2026 下午8:29:26
218034,中四,數學(中文),每小時$230,屯門(上門補習),2026-04-14 22:02:41,：和田,一星期2堂,每堂2小時,"：星期六 1400-1600, 星期日 1400-1600, 導師必須在以上時段補習","： 有耐性, 提供練習／試題, 有經驗, 期望最快上課時間:一個月內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午10:14:32
218033,小六,英文,每小時$220,粉嶺(上門補習),2026-04-14 21:32:29,：皇后山邨,一星期2堂,每堂1.5小時,"：星期二 1700-1800, 星期四 1700-1800, 星期五 1700-1800, 時間可再商議","： 讀寫問題,期望最快上課時間:2星期內,粵語授課,有特殊學習需要,不接受視像",0-5位導師,14/4/2026 下午10:14:33
218031,中四,數學(中文),每小時$170-220,葵盛(上門補習),2026-04-14 21:32:10,：葵盛東邨,一星期1堂,每堂1.5小時,,： 不接受視像,0-5位導師,14/4/2026 下午10:14:34
218032,中四,英文,每小時$250 - 290,屯門(公眾地方),2026-04-14 21:30:26,,一星期1堂,每堂2小時,"：星期六 2-4, 時間可再商議","： 有耐性, 期望最快上課時間:一個月內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午10:14:35
218030,35-40歲,英文,每小時$220 - 350,沙田(公眾地方),2026-04-14 21:14:11,,一星期1堂,每堂1.5小時,"：星期一 100, 導師必須在以上時段補習","： 有學習障礙,期望最快上課時間:1個月後,粵語授課,有特殊學習需要,不接受視像",0-5位導師,14/4/2026 下午10:14:36
218029,中一,數學(中文),每小時$150 - 200,深水埗(上門補習),2026-04-14 21:13:14,：睿峰,一星期1堂,每堂1.5小時,,"： 最少1年以上教學經驗,不接受視像",0-5位導師,14/4/2026 下午10:14:37
218028,中三,"數學(英文),物理(英文)",每小時$170 - 210,將軍澳(上門補習),2026-04-14 20:57:47,：新都城三期,一星期2堂,每堂1.5小時,"：星期一 1800-1930, 星期三 1800-1930, 星期六 1130-1300, 導師必須在以上時段補習","： 有耐性, 針對學生弱項, 期望最快上課時間:3天內,粵語授課、全英文授課,不接受視像",0-5位導師,14/4/2026 下午10:14:39
218027,中五,生物(英文),每小時$200 - 300,視像補習,2026-04-14 20:40:09,,一星期2堂,每堂2小時,"：星期一 1700-2100, 星期二 1700-2100, 星期三 1700-2100, 星期四 1700-2100, 星期五 1700-2100, 星期六 1800-2200, 星期日 1100-2000, 時間可再商議","： 期望最快上課時間:2星期內,粵語授課、全英文授課,急單補習(需要在兩天內開始上第一堂課)",6-10位導師,14/4/2026 下午10:14:40
218042,中四,英文,每小時$200 - 300,九龍灣(上門補習),2026-04-14 23:20:07,：德福大廈,一星期2堂,每堂1.5小時,"：星期四 1800-1930, 星期五 1800-1930, 時間可再商議","： 期望最快上課時間:3天內,粵語授課、普通話授課,不接受視像",0-5位導師,14/4/2026 下午11:44:12
218041,小四,全科(中文),每小時$200 - 240,黃竹坑(公眾地方),2026-04-14 23:15:32,：Southside,一星期1堂,每堂1.5小時,"：星期六 11-12, 時間可再商議","： 有耐性, 提供筆記, 提供練習／試題, 期望最快上課時間:2星期內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午11:44:13
218040,中三,生物(英文),每小時$170 - 300,堅尼地城(上門補習),2026-04-14 22:40:56,：地鐵站行5分鐘,一星期1堂,每堂1.5小時,"：星期三 1800, 星期四 1930, 時間可再商議","： 提供練習／試題, 期望最快上課時間:3天內,粵語授課、全英文授課,不接受視像",0-5位導師,14/4/2026 下午11:44:14
218039,中四 (5人),英文,每小時$200 - 290,"九龍城,旺角,太子(公眾地方)",2026-04-14 22:34:08,,一星期1堂,每堂1.5小時,"：星期六 1000-1130, 時間可再商議","： 期望最快上課時間:一個月內,粵語授課,不接受視像",6-10位導師,14/4/2026 下午11:44:15
218038,K2,英文,每小時$160 - 200,將軍澳(上門補習),2026-04-14 22:31:18,：capri，由將軍澳或調景嶺地鐵站步行8分鐘，亦可轉乘小巴,一星期2堂,每堂1小時,"：星期六 1000-1400, 星期日 1000-1400, 時間可再商議","： 期望最快上課時間:2星期內,全英文授課,不接受視像",0-5位導師,14/4/2026 下午11:44:16
218036,中四,英文,每小時$200-250,深水埗(上門補習),2026-04-14 22:28:04,：蘇屋邨,一星期2堂,每堂1.5小時,"：星期一 17-20, 星期二 17-20, 星期三 17-20, 星期四 17-20, 星期五 17-20, 星期六 10-20, 星期日 10-20",： 不接受視像,0-5位導師,14/4/2026 下午11:44:18
218037,中五,數學(英文),每小時$250 - 350,屯門(公眾地方),2026-04-14 22:20:51,：新屯門中心,一星期1堂,每堂2小時,"：星期六 1500-1600, 時間可再商議","： 有耐性, 提供練習／試題, 指導功課, 有讀寫障礙,期望最快上課時間:7天內,粵語授課,有特殊學習需要,不接受視像",6-10位導師,14/4/2026 下午11:44:19
218035,中四,"化學(英文),生物(英文)",每小時$180 - 220,大圍(上門補習),2026-04-14 22:05:01,：金獅花園,一星期1堂,每堂1.5小時,"：星期六 1600-1900, 星期日 1100-1600, 導師必須在以上時段補習","： 能補化學及生物兩科女導師,期望最快上課時間:3天內,粵語授課,不接受視像",0-5位導師,14/4/2026 下午11:44:20
218045,中六,英文,每小時$260 - 300,上環(公眾地方),2026-04-15 00:07:02,,一星期2堂,每堂1.5小時,"：星期一 1500-1600, 時間可再商議","： 有經驗, 期望最快上課時間:一個月內,粵語授課,【中六DSE只收取一星期費用】,不接受視像",0-5位導師,15/4/2026 上午12:49:55
218044,中四,中文,每小時$200 - 240,九龍灣(上門補習),2026-04-14 23:59:46,：淘大花園,一星期1堂,每堂1.5小時,"：星期二 1700-1800, 星期四 1700-1800, 時間可再商議","： 期望最快上課時間:2星期內,粵語授課,不接受視像",0-5位導師,15/4/2026 上午12:49:56
218043,中四,生物(英文),每小時$180 - 300,荃灣(上門或視像皆可),2026-04-14 23:52:04,：樂悠居,一星期1堂,每堂1.5小時,"：星期六 1700-2000, 星期日 2000-2200, 導師必須在以上時段補習","： 提供練習／試題, 針對學生弱項, 神科生優先($250/hr 起), 德望學生，校内測驗不及格，基础薄弱，不懂答題,期望最快上課時間:7天內,粵語授課、全英文授課",0-5位導師,15/4/2026 上午12:49:57
218046,小五,英文,每小時$170 - 210,將軍澳(上門補習),2026-04-15 01:42:40,：the parkside,一星期2堂,每堂1.5小時,"：星期二 1600-1800, 星期四 1600-1800, 星期六 1100-1300, 時間可再商議","： 外國回流導師, 針對學生弱項, 提升寫作能力, 期望最快上課時間:3天內,全英文授課,不接受視像",0-5位導師,15/4/2026 上午1:57:02
218047,中五,中文,每小時$200 - 240,坑口(公眾地方),2026-04-15 02:29:37,：海悅豪園(地鐵站對面),一星期2堂,每堂2小時,"：星期六 1500-1900, 星期日 1500-1900, 時間可再商議","： 期望最快上課時間:3天內,粵語授課,不接受視像",0-5位導師,15/4/2026 上午3:27:57
218057,中四,地理(英文),每小時$200,鴨脷洲(上門補習),2026-04-15 11:37:05,：悅海華庭,一星期1堂,每堂2小時,,"： 這學期必須在香港, 針對學生弱項, 可剛完成DSE課程中六學生，希望提供筆記，練習，講解,導師要主動講嘢，唔好等我女去問，學生底較弱，期望最快上課時間:7天內,粵語授課,不接受視像",0-5位導師,15/4/2026 上午11:40:37
218056,中六,化學(中文),每小時$250 - 330,九龍塘(上門或視像皆可),2026-04-15 11:28:46,：逸瓏,一星期1堂,每堂1.5小時,"：星期五 1900-2030, 時間可再商議","： 有耐性, 提供練習／試題, 有經驗, 期望最快上課時間:2星期內,普通話授課,【中六DSE只收取一星期費用】",0-5位導師,15/4/2026 上午11:40:39
218055,中三,中文,每小時$180 - 230,天后(上門補習),2026-04-15 11:25:52,：水星街,一星期1堂,每堂1.5小時,,"： 有耐性, 長補, 有經驗, 不接受視像",0-5位導師,15/4/2026 上午11:40:40
218054,中五,經濟(英文),每小時$220 - 500,何文田(上門補習),2026-04-15 11:12:39,：半山壹號,一星期1堂,每堂1.5小時,,： 不接受視像,0-5位導師,15/4/2026 上午11:40:41
218052,小五,"中文,數學(英文)",每小時$150,沙田(上門補習),2026-04-15 10:31:31,：多石村,一星期2堂,每堂1.5小時,：,： 不接受視像，短補，指定日子（5月13號，15號，17號，19號，21號，同27號）每日1-1.5小時,0-5位導師,15/4/2026 上午11:40:42
218051,K2,英文,每小時$500 - 550,大埔(上門補習),2026-04-15 10:28:37,：海日灣,一星期2堂,每堂1小時,"：星期三 1000-1100, 星期四 1700-1800, 導師必須在以上時段補習","： 期望最快上課時間:7天內,不接受視像",0-5位導師,15/4/2026 上午11:40:43
218050,中四,英文,每小時$200 - 290,"九龍城,旺角,太子(公眾地方)",2026-04-15 10:22:40,,一星期1堂,每堂1.5小時,,"： 期望最快上課時間:一個月內,粵語授課,不接受視像",0-5位導師,15/4/2026 上午11:40:44
218049,中四,生物(英文),每小時$180 - 250,杏花邨(上門補習),2026-04-15 10:13:16,：杏花邨,一星期1堂,每堂1.5小時,"：星期三 1700-1900, 星期六 15-18, 時間可再商議","： 提供練習／試題, 長補, 生物科DSE 5* 或以上,期望最快上課時間:7天內,粵語授課,不接受視像",0-5位導師,15/4/2026 上午11:40:45
218053,中五 (2人),物理(英文),每小時$120 - 280,北角(上門補習),2026-04-15 09:47:19,：柏蔚山,一星期2堂,每堂2小時,"：星期二 1730-1900, 星期五 1730-1900, 星期六 1130-1300, 時間可再商議","： 有耐性, 提供練習／試題, 細心, 期望最快上課時間:3天內,粵語授課,不接受視像",0-5位導師,15/4/2026 上午11:40:47
218048,中四,數學(英文),每小時$230 - 270,屯門(上門補習),2026-04-15 08:36:24,：愛琴海岸,一星期1堂,每堂1.5小時,"：星期二 1730-1900, 星期三 1730-1900, 星期四 1730-1900, 導師必須在以上時段補習","： 有耐性, 提供練習／試題, 有經驗, 期望最快上課時間:7天內,全英文授課,不接受視像",0-5位導師,15/4/2026 上午11:40:48
